Size	AvgCPUTime	AvgGPUTime
250000	0.173500	1.132001
500000	0.363638	1.222383
750000	0.542932	1.323971
1000000	0.716539	1.355194
1250000	0.891509	1.449130
1500000	1.071991	1.484868
1750000	1.251664	1.519933
2000000	1.427100	1.551357
2250000	1.585748	1.652829
2500000	1.758648	1.673532
2750000	1.922895	1.708689
3000000	2.091963	1.735572
3250000	2.256605	1.773340
3500000	2.419567	1.806618
3750000	2.581801	1.830874
4000000	2.549613	1.855811
4250000	2.677319	1.953364
4500000	2.785639	1.990186
4750000	2.905291	2.019243
5000000	3.029932	2.046529
5250000	3.146316	2.076666
5500000	3.261839	2.131946
5750000	3.365881	2.151428
6000000	3.508371	2.168388
6250000	3.626753	2.208125
6500000	3.739878	2.238895
6750000	3.863670	2.276113
7000000	3.982543	2.301272
7250000	4.106155	2.326821
7500000	4.229460	2.377139
7750000	4.339281	2.397751
8000000	4.488625	2.427617
8250000	4.577622	2.448443
8500000	4.735091	2.540259
8750000	4.902115	2.575837
9000000	5.068909	2.609968
9250000	5.233259	2.638082
9500000	5.414971	2.670506
9750000	5.586979	2.701530
10000000	5.740176	2.718810
10250000	5.930643	2.775042
10500000	6.094660	2.790820
10750000	6.274041	2.844499
11000000	6.429779	2.862900
11250000	6.590604	2.888465
11500000	6.730144	2.908409
11750000	6.937301	2.983784
12000000	7.107809	2.971505
12250000	7.287154	3.022295
12500000	6.102032	3.050733
12750000	6.159235	3.071100
13000000	6.275393	3.097996
13250000	6.418862	3.136214
13500000	6.514836	3.160874
13750000	6.817531	3.284218
14000000	6.843761	3.233221
14250000	6.902245	3.275110
14500000	7.001190	3.328068
14750000	7.103726	3.332612
15000000	7.227107	3.361777
15250000	7.332225	3.384633
15500000	7.474721	3.411553
15750000	7.590689	3.450908
16000000	7.737145	3.467900
16250000	7.844901	3.503377
16500000	7.929681	3.540941
16750000	8.054031	3.565490
17000000	8.177074	5.085582
17250000	8.318709	5.137725
17500000	8.456542	5.162307
17750000	8.627142	5.193639
18000000	8.704243	5.220184
18250000	8.826907	5.262452
18500000	8.966103	5.288548
18750000	9.139946	5.298787
19000000	9.217185	5.337919
19250000	9.407759	5.368519
19500000	9.588887	5.421080
19750000	9.786787	5.433451
20000000	9.916629	5.464447
20250000	10.042495	5.509343
20500000	10.185810	5.529843
20750000	9.917746	5.545502
21000000	10.028238	5.595736
21250000	10.121793	5.597392
21500000	10.263986	5.664394
21750000	10.396164	5.667433
22000000	10.513583	5.711258
22250000	10.626078	5.720879
22500000	10.766462	5.801702
22750000	10.882667	5.842137
23000000	10.958717	5.850593
23250000	11.081182	5.881980
23500000	11.239538	5.911571
23750000	11.345347	5.950394
24000000	11.477320	5.944312
24250000	11.540532	6.001606
24500000	11.662920	6.055190
24750000	11.994601	6.061674
25000000	12.079515	6.100999
25250000	12.223608	6.135386
25500000	12.289269	6.155948
25750000	12.359854	6.177330
26000000	12.645618	6.203638
26250000	12.665848	6.246973
26500000	12.843774	6.278413
26750000	12.943754	6.323918
27000000	13.107028	6.327484
27250000	13.180578	6.355007
27500000	13.341870	6.399590
27750000	13.401537	6.436792
28000000	13.521635	6.458096
28250000	13.598116	6.467370
28500000	13.708013	6.521554
28750000	13.860058	6.543263
29000000	14.003752	6.582019
29250000	14.129070	6.597470
29500000	14.304117	6.656284
29750000	14.384906	6.678035
30000000	14.496838	6.697013
30250000	14.641397	6.762120
30500000	14.733601	6.786172
30750000	14.829323	6.835200
31000000	14.984093	6.849468
31250000	14.995774	6.867353
31500000	15.197285	6.932789
31750000	15.271256	6.913108
32000000	15.403275	6.950524
32250000	15.454566	6.997511
32500000	15.629464	7.075989
32750000	15.739956	7.066223
33000000	15.887549	7.065298
33250000	16.024911	7.119060
33500000	16.134676	7.152934
33750000	16.269087	10.132912
34000000	16.309610	10.191492
34250000	16.471208	10.251035
34500000	16.517489	10.254426
34750000	16.773315	10.346693
35000000	16.800866	10.338160
35250000	16.955221	10.332646
35500000	17.057814	10.372738
35750000	17.207363	10.442508
36000000	17.230990	10.412318
36250000	17.377845	10.454406
36500000	17.524787	10.508110
36750000	17.699768	10.536509
37000000	17.757006	10.640708
37250000	17.885306	10.613433
37500000	18.016090	10.617441
37750000	18.076495	10.655788
38000000	18.276409	10.764000
38250000	18.339196	10.692177
38500000	18.462429	10.771834
38750000	18.621712	10.798911
39000000	18.759299	10.841514
39250000	18.901303	10.833647
39500000	18.974326	10.882835
39750000	19.110002	10.895157
40000000	19.274035	10.961380
40250000	19.296232	11.012164
40500000	19.410961	10.979068
40750000	19.494840	11.038833
41000000	19.697397	11.079374
41250000	19.774881	11.088351
41500000	19.893693	11.114689
41750000	20.065374	11.142012
42000000	20.234135	11.201908
42250000	20.381389	11.200960
42500000	20.402788	11.238620
42750000	20.502963	11.254295
43000000	20.749767	11.331952
43250000	20.822574	11.370333
43500000	20.874070	11.355528
43750000	20.973973	11.453354
44000000	21.225127	11.408503
44250000	21.217847	11.445501
44500000	21.408109	11.471924
44750000	21.591783	11.510893
45000000	21.556624	11.566032
45250000	21.605645	11.577336
45500000	21.843131	11.618102
45750000	21.916661	11.666063
46000000	22.177512	11.704817
46250000	22.169730	11.701380
46500000	22.392210	11.780502
46750000	22.503783	11.782036
47000000	22.490351	11.821846
47250000	22.634158	11.861030
47500000	22.788077	11.881830
47750000	22.896730	11.916100
48000000	23.102161	11.923560
48250000	23.085911	11.941848
48500000	23.254667	12.029537
48750000	23.361286	11.996265
49000000	23.555574	12.110863
49250000	23.675933	12.094765
49500000	23.677726	12.136421
49750000	23.943890	12.138498
50000000	24.035376	12.257827
50250000	24.048732	12.221718
50500000	24.418359	12.314124
50750000	24.583534	12.287436
51000000	24.596843	12.336731
51250000	24.643928	12.345958
51500000	24.867510	12.394659
51750000	24.943806	12.452247
52000000	24.974718	12.411969
52250000	25.145856	12.479742
52500000	25.424494	12.518228
52750000	25.501974	12.523000
53000000	25.619756	12.577326
53250000	25.668091	12.569037
53500000	25.830781	12.659875
53750000	25.876529	12.668737
54000000	25.879772	12.689766
54250000	25.975720	12.685837
54500000	26.314430	12.746637
54750000	26.404927	12.805352
55000000	26.452930	12.832010
55250000	26.625415	12.822277
55500000	26.833274	12.899664
55750000	26.890528	12.901977
56000000	27.067727	12.932787
56250000	27.017890	12.951628
56500000	27.088470	12.994161
56750000	27.509075	13.127067
57000000	27.305012	13.062068
57250000	27.420571	13.075196
57500000	27.687954	13.109202
57750000	27.804542	13.158620
58000000	27.914276	13.198362
58250000	28.025035	13.178837
58500000	28.157986	13.240944
58750000	28.261762	13.287087
59000000	28.419263	13.330125
59250000	28.504391	13.312668
59500000	28.607363	13.372492
59750000	28.746482	13.441407
60000000	28.909126	13.413267
60250000	29.016862	13.419653
60500000	29.235638	13.461233
60750000	29.277119	13.501488
61000000	29.505951	13.582069
61250000	29.591377	13.589752
61500000	29.867197	13.634758
61750000	29.904165	13.669705
62000000	29.917018	13.712159
62250000	29.903919	13.670758
62500000	30.021639	13.797410
62750000	30.098607	13.816678
63000000	30.225733	13.899631
63250000	30.491205	13.836805
63500000	30.624203	13.916145
63750000	30.539090	13.930554
64000000	30.848881	13.871512
64250000	30.965382	13.931087
64500000	31.001258	14.005917
64750000	31.292478	14.044824
65000000	31.262027	14.113647
65250000	31.326572	14.129048
65500000	31.446260	14.115372
65750000	31.676271	14.168252
66000000	31.777352	14.168531
66250000	31.940821	14.202691
66500000	32.150304	14.246876
66750000	32.353880	14.290992
67000000	32.308291	14.344291
67250000	32.219238	20.127122
67500000	32.221723	20.164717
67750000	32.353563	20.302408
68000000	32.600069	20.181956
68250000	32.562206	20.257252
68500000	32.768881	20.306252
68750000	32.871443	20.361408
69000000	33.051838	20.337883
69250000	33.192161	20.337373
69500000	33.314513	20.384355
69750000	33.421788	20.431878
70000000	33.602127	20.538377
70250000	33.487193	20.476682
70500000	33.706031	20.580906
70750000	33.688070	20.578045
71000000	34.130469	20.594382
71250000	34.002994	20.647596
71500000	34.227308	20.677430
71750000	34.428564	20.729170
72000000	34.419230	20.662582
72250000	34.628949	20.722190
72500000	34.852838	20.772385
72750000	34.876854	20.779291
73000000	34.929318	20.876717
73250000	34.816567	20.892494
73500000	35.198915	20.898014
73750000	35.301292	20.945301
74000000	35.162798	21.042872
74250000	35.364033	20.990097
74500000	35.611098	20.987107
74750000	35.626303	20.983067
75000000	35.733511	21.068129
75250000	35.822590	21.108602
75500000	36.076725	21.160385
75750000	36.081679	21.215308
76000000	36.371690	21.191124
76250000	36.365629	21.275873
76500000	36.343933	21.227039
76750000	36.738166	21.306068
77000000	36.754232	21.354840
77250000	36.952798	21.379100
77500000	36.926707	21.395435
77750000	36.891625	21.444266
78000000	37.343757	21.493477
78250000	37.321242	21.396580
78500000	37.575756	21.537557
78750000	37.794814	21.521483
79000000	37.812616	21.580900
79250000	37.627508	21.589186
79500000	38.040394	21.647645
79750000	37.988739	21.764639
80000000	38.085763	21.621271
80250000	38.325999	21.732924
80500000	38.289641	21.755349
80750000	38.697071	21.815328
81000000	38.591000	21.829622
81250000	38.814110	21.925366
81500000	38.861267	21.907662
81750000	38.837281	21.861994
82000000	39.171165	21.963351
82250000	39.361166	21.945475
82500000	39.431074	22.034154
82750000	39.353825	22.010894
83000000	39.728365	22.054157
83250000	39.839620	22.119190
83500000	39.904979	22.085306
83750000	39.873944	22.188335
84000000	39.993852	22.209725
84250000	40.364765	22.198131
84500000	40.307014	22.261037
84750000	40.496318	22.298681
85000000	40.677804	22.312163
85250000	40.742513	22.298869
85500000	40.889398	22.347728
85750000	40.990900	22.368989
86000000	41.306351	22.477759
86250000	41.387699	22.391526
86500000	41.639631	22.461082
86750000	41.466731	22.520899
87000000	41.543837	22.534764
87250000	41.801322	22.593947
87500000	41.714667	22.637137
87750000	41.867096	22.670096
88000000	41.956625	22.614207
88250000	41.916548	22.690470
88500000	42.130022	22.714886
88750000	42.342348	22.763645
89000000	42.611581	22.851917
89250000	42.359008	22.860845
89500000	42.995158	23.063834
89750000	42.871151	22.850506
90000000	42.846259	22.982871
90250000	42.900501	22.936934
90500000	43.072602	23.015021
90750000	43.213955	22.973440
91000000	43.335015	23.073737
91250000	43.547875	23.042899
91500000	43.520912	23.068153
91750000	43.664140	23.183437
92000000	43.753019	23.232350
92250000	43.910350	23.186753
92500000	43.996764	23.175572
92750000	44.206965	23.260136
93000000	44.221217	23.265568
93250000	44.333727	23.351744
93500000	44.540081	23.381962
93750000	44.462714	23.444815
94000000	44.582709	23.471581
94250000	44.766434	23.430564
94500000	44.940558	23.491589
94750000	45.023417	23.563628
95000000	45.165431	23.563860
95250000	45.330575	23.613988
95500000	45.330032	23.718099
95750000	45.407778	23.750203
96000000	45.537696	23.685135
96250000	45.631221	23.748207
96500000	45.807861	23.701482
96750000	46.037155	23.764065
97000000	46.208569	23.781179
97250000	46.152186	23.818961
97500000	46.247545	23.806404
97750000	46.395168	23.798836
98000000	46.541588	24.103716
98250000	46.715999	23.913629
98500000	47.278916	23.999656
98750000	47.429608	24.011138
99000000	47.468086	24.082552
99250000	47.704926	24.111840
99500000	47.706248	24.063768
99750000	47.753262	24.251148
100000000	47.865060	24.225256
