Size	AvgCPUTime	AvgGPUTime	
12500	0.007787	0.053571
25000	0.014831	0.053544
37500	0.021409	0.053545
50000	0.028105	0.053504
62500	0.033888	0.053753
75000	0.039939	0.053566
87500	0.046496	0.053570
100000	0.053371	0.053539
112500	0.060318	0.053637
125000	0.065871	0.053474
137500	0.072346	0.053533
150000	0.077270	0.053509
162500	0.086353	0.053538
175000	0.092623	0.053546
187500	0.097157	0.053625
200000	0.105005	0.053575
212500	0.106865	0.053454
225000	0.115477	0.053514
237500	0.120441	0.053530
250000	0.130098	0.053518
262500	0.134631	0.053537
275000	0.140646	0.053549
287500	0.149554	0.053516
300000	0.156757	0.053576
312500	0.160963	0.053540
325000	0.163638	0.053509
337500	0.175671	0.053564
350000	0.183709	0.053540
362500	0.183909	0.053552
375000	0.198135	0.053555
387500	0.197454	0.053558
400000	0.208274	0.053604
412500	0.208325	0.053650
425000	0.224365	0.053647
437500	0.235262	0.053621
450000	0.234826	0.053610
462500	0.240379	0.053586
475000	0.249140	0.053601
487500	0.251163	0.053663
500000	0.248177	0.053624
512500	0.262567	0.053648
525000	0.276896	0.053588
537500	0.284683	0.053721
550000	0.278561	0.053654
562500	0.285395	0.053593
575000	0.285241	0.053596
587500	0.295185	0.053605
600000	0.310400	0.053729
612500	0.317398	0.053750
625000	0.323033	0.053701
637500	0.327598	0.053693
650000	0.353095	0.053669
662500	0.344642	0.053584
675000	0.351102	0.053665
687500	0.347316	0.053670
700000	0.361568	0.053656
712500	0.366133	0.053649
725000	0.381845	0.053673
737500	0.379637	0.053670
750000	0.394724	0.053588
762500	0.395585	0.053683
775000	0.393643	0.053763
787500	0.399468	0.053743
800000	0.414150	0.053661
812500	0.417931	0.053812
825000	0.431901	0.053733
837500	0.453961	0.053726
850000	0.455544	0.053724
862500	0.454734	0.053730
875000	0.450364	0.053796
887500	0.464985	0.053638
900000	0.469125	0.053616
912500	0.463039	0.053652
925000	0.478361	0.053672
937500	0.483003	0.053720
950000	0.504258	0.053803
962500	0.498279	0.053587
975000	0.508535	0.053658
987500	0.521896	0.053669
1000000	0.511655	0.053635
