size	1	2	4
25000	0.394566	6.819526	36.661593	
50000	0.737568	0.394878	34.053358	
75000	1.061948	0.776661	0.326211	
100000	2.922157	0.715504	9.193945	
125000	12.179932	2.935461	33.697173	
150000	2.067325	1.074837	0.569020	
175000	2.425842	1.228847	0.660373	
200000	2.866304	1.405502	0.742305	
225000	3.075449	1.570677	0.827752	
250000	3.506721	1.744777	0.905607	
275000	3.771523	1.905667	1.027597	
300000	4.119217	2.119375	1.211501	
325000	6.469046	4.265636	24.916548	
350000	4.893331	2.453664	1.362927	
375000	5.154382	2.715227	1.333959	
400000	5.522454	2.799264	1.406146	
425000	5.883927	2.954103	1.509680	
450000	6.291126	3.152257	1.626983	
475000	6.530472	3.295838	1.666916	
500000	15.800454	3.443124	1.863693	
525000	7.200581	3.635531	1.871109	
550000	7.572001	3.812836	1.961376	
575000	8.181621	3.989643	2.250133	
600000	8.311467	4.148927	2.123733	
625000	8.606692	4.291032	2.332229	
650000	9.277432	11.065217	2.308289	
675000	9.261148	4.678796	2.367395	
700000	9.650161	5.013544	2.478575	
725000	9.960540	5.023098	2.547941	
750000	10.337008	5.192966	2.827934	
775000	10.694715	5.443736	20.218620	
800000	11.095885	5.742970	20.282679	
825000	11.454604	5.727967	9.154297	
850000	11.724040	5.893756	7.492569	
875000	13.467079	6.054343	3.045044	
900000	12.346362	6.203649	3.354502	
925000	12.770713	6.430279	3.259157	
950000	13.052094	6.550658	3.549534	
975000	25.632495	6.736667	3.628618	
1000000	13.726459	6.912265	3.596963	
1025000	14.220818	7.085873	3.586130	
1050000	14.436641	7.236939	3.739745	
1075000	18.936057	12.990530	3.768657	
1100000	15.280977	7.569173	3.796821	
1125000	15.421935	7.762453	4.077162	
1150000	15.820488	7.975301	4.020850	
1175000	20.825747	8.331125	4.424349	
1200000	16.528185	8.286331	4.349260	
1225000	16.797226	8.449296	4.288852	
1250000	17.242544	8.679850	43.288236	
1275000	21.213668	8.877283	5.436721	
1300000	18.156082	11.760983	18.799923	
1325000	18.184374	9.210160	4.784152	
1350000	18.696112	9.438452	4.713700	
1375000	18.897106	15.934019	5.026634	
1400000	19.179825	9.817038	4.914543	
1425000	19.546971	9.892794	5.072831	
1450000	20.495387	15.568162	10.693545	
1475000	20.318181	10.234005	5.214179	
1500000	20.627123	10.350645	5.776044	
1525000	22.910588	10.612061	5.405705	
1550000	21.463712	10.700517	5.734956	
1575000	21.776566	10.931318	5.524851	
1600000	26.465218	11.097426	6.567226	
1625000	24.346110	12.245259	36.020930	
1650000	27.738551	11.394108	5.848636	
1675000	31.584138	11.649886	6.054390	
1700000	24.064819	22.635998	6.083337	
1725000	23.957907	11.932056	6.043941	
1750000	24.018645	12.304346	6.098338	
1775000	27.898738	12.213486	6.956678	
1800000	24.742712	12.462443	6.479587	
1825000	25.090427	22.835769	23.939695	
